"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"U3","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/gpn/lm7800"
"U4","1","AY-3-8910","","","","Package_DIP:DIP-40_W15.24mm_Socket",""
"U5,U7","2","HM62256","","","","Package_DIP:DIP-28_W15.24mm_Socket",""
"U6","1","74HC04","","","","Package_DIP:DIP-14_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf"
"U8","1","Z80","","","","Package_DIP:DIP-40_W15.24mm_Socket",""
"U9","1","74LS32","","","","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS32"
"U10","1","27/28C256","","","","Package_DIP:DIP-28_W15.24mm_Socket",""
"U11","1","74HCT240","","","","Package_DIP:DIP-20_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT240.pdf"
"U16","1","74LS138","","","","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS138"
"U18","1","74LS00","","","","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74ls00"
"Y2","1","14.000 Mhz","","","","Crystal:Crystal_HC49-4H_Vertical",""
